"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"F_2022" "F_2022" 1.05657 0.275133 0.205606 0.581451
"F_2023" "F_2023" 1.05657 0.275133 0.205606 0.581451
"Bratio_1953" "Bratio_1953" 4.49195 0.324234 10.7698 1
"Bratio_1954" "Bratio_1954" 4.04123 0.332777 9.13895 1
"Bratio_1955" "Bratio_1955" 1.67151 0.476657 1.4088 0.920553
"Bratio_1956" "Bratio_1956" 1.34608 0.393662 0.879124 0.810333
"Bratio_1957" "Bratio_1957" 1.34567 0.341867 1.01114 0.844024
"Bratio_1958" "Bratio_1958" 1.37407 0.323241 1.15723 0.876412
"Bratio_1959" "Bratio_1959" 1.04713 0.292437 0.161155 0.564015
"Bratio_1960" "Bratio_1960" 0.960643 0.264774 -0.148644 0.440917
"Bratio_1961" "Bratio_1961" 0.8987 0.235745 -0.429702 0.333706
"Bratio_1962" "Bratio_1962" 0.545887 0.184082 -2.46691 0.00681424
"Bratio_1963" "Bratio_1963" 0.422441 0.142906 -4.04154 2.6564e-05
"Bratio_1964" "Bratio_1964" 0.312917 0.113637 -6.04631 7.4376e-10
"Bratio_1965" "Bratio_1965" 0.438826 0.131418 -4.27014 9.7744e-06
"Bratio_1966" "Bratio_1966" 0.42892 0.145092 -3.93598 4.14463e-05
"Bratio_1967" "Bratio_1967" 0.304691 0.13808 -5.03557 2.38604e-07
"Bratio_1968" "Bratio_1968" 0.455651 0.156639 -3.47519 0.000255293
"Bratio_1969" "Bratio_1969" 0.625467 0.192976 -1.94083 0.0261394
"Bratio_1970" "Bratio_1970" 0.738406 0.231709 -1.12898 0.129454
"Bratio_1971" "Bratio_1971" 0.520844 0.197197 -2.42983 0.00755292
"Bratio_1972" "Bratio_1972" 0.373481 0.144443 -4.33748 7.21185e-06
"Bratio_1973" "Bratio_1973" 0.379655 0.129781 -4.77995 8.77799e-07
"Bratio_1974" "Bratio_1974" 0.372931 0.136753 -4.58542 2.26768e-06
"Bratio_1975" "Bratio_1975" 0.38822 0.149419 -4.0944 2.11741e-05
"Bratio_1976" "Bratio_1976" 0.450364 0.164343 -3.34445 0.000412278
"Bratio_1977" "Bratio_1977" 0.507643 0.183486 -2.68334 0.00364457
"Bratio_1978" "Bratio_1978" 0.703996 0.216765 -1.36555 0.0860397
"Bratio_1979" "Bratio_1979" 0.652587 0.201576 -1.72349 0.0424002
