"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Bratio_1978" "Bratio_1978" 0.592542 0.114493 -3.55879 0.000186324
"Bratio_1979" "Bratio_1979" 0.52144 0.0944611 -5.06622 2.03243e-07
"Bratio_1980" "Bratio_1980" 0.472925 0.0849804 -6.20231 2.79339e-10
"Bratio_1981" "Bratio_1981" 0.645441 0.0917797 -3.86315 5.5987e-05
"Bratio_1982" "Bratio_1982" 0.533373 0.0797619 -5.85024 2.46219e-09
"Bratio_1983" "Bratio_1983" 0.418378 0.0694273 -8.37742 2.73712e-17
"Bratio_1984" "Bratio_1984" 0.47588 0.0713436 -7.34642 1.02578e-13
"Bratio_1985" "Bratio_1985" 0.474283 0.069813 -7.53037 2.5511e-14
"Bratio_1986" "Bratio_1986" 0.417929 0.064815 -8.9805 1.36743e-19
"Bratio_1987" "Bratio_1987" 0.413195 0.0580663 -10.1058 2.65696e-24
"Bratio_1988" "Bratio_1988" 0.377974 0.0614678 -10.1196 2.30854e-24
"Bratio_1989" "Bratio_1989" 0.364825 0.0654122 -9.71034 1.38693e-22
"Bratio_1990" "Bratio_1990" 0.338625 0.0605908 -10.9154 4.98337e-28
"Bratio_1991" "Bratio_1991" 0.359512 0.0615694 -10.4027 1.23134e-25
"Bratio_1992" "Bratio_1992" 0.39492 0.0664446 -9.10653 4.31761e-20
"Bratio_1993" "Bratio_1993" 0.465068 0.0766308 -6.98064 1.47866e-12
"Bratio_1994" "Bratio_1994" 0.504614 0.0893802 -5.54246 1.49503e-08
"Bratio_1995" "Bratio_1995" 0.433005 0.0824629 -6.87575 3.10191e-12
"Bratio_1996" "Bratio_1996" 0.484364 0.0785463 -6.56474 2.61951e-11
"Bratio_1997" "Bratio_1997" 0.507934 0.0782961 -6.28468 1.64971e-10
"Bratio_1998" "Bratio_1998" 0.569832 0.0800019 -5.37698 3.79581e-08
"Bratio_1999" "Bratio_1999" 0.618059 0.080163 -4.76456 9.47526e-07
"Bratio_2000" "Bratio_2000" 0.560981 0.0800194 -5.4864 2.05603e-08
