"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"F_1964" "F_1964" 1.64751 0.446048 1.45167 0.926703
"F_1965" "F_1965" 1.83037 0.480159 1.72936 0.958128
"F_1966" "F_1966" 2.64237 0.886731 1.85216 0.967999
"F_1967" "F_1967" 1.30752 0.398518 0.771657 0.779841
"F_1968" "F_1968" 0.922073 0.245338 -0.317632 0.375382
"F_1969" "F_1969" 0.830509 0.215799 -0.785412 0.216106
"F_1970" "F_1970" 1.85519 0.483328 1.76937 0.961584
"F_1971" "F_1971" 2.77066 0.797695 2.21972 0.986781
"F_1972" "F_1972" 2.85286 0.789311 2.34744 0.990548
"F_1973" "F_1973" 2.58655 0.667 2.37864 0.991312
"F_1974" "F_1974" 2.30529 0.626738 2.08267 0.981359
"F_1975" "F_1975" 1.68871 0.425944 1.6169 0.947051
"F_1976" "F_1976" 1.50369 0.353747 1.42387 0.922757
"F_1977" "F_1977" 0.707346 0.13942 -2.09907 0.0179052
"F_1978" "F_1978" 1.22794 0.164605 1.38479 0.916942
"F_1979" "F_1979" 1.32223 0.173365 1.85868 0.968464
"F_1980" "F_1980" 0.897519 0.100032 -1.02448 0.152804
"F_1981" "F_1981" 1.655 0.154162 4.24879 0.999989
"F_1982" "F_1982" 2.09889 0.231355 4.74981 0.999999
"F_1983" "F_1983" 1.33912 0.162919 2.08154 0.981308
"F_1984" "F_1984" 1.35912 0.144044 2.49316 0.993669
"F_1985" "F_1985" 1.30044 0.142415 2.10961 0.982554
"F_1986" "F_1986" 1.18797 0.144032 1.30506 0.904064
"F_1987" "F_1987" 1.11281 0.148405 0.760165 0.776422
"F_1988" "F_1988" 1.4471 0.197754 2.2609 0.988117
"F_1989" "F_1989" 2.40073 0.354561 3.95061 0.999961
"F_1990" "F_1990" 1.68363 0.282805 2.41733 0.992183
"F_1991" "F_1991" 1.23048 0.208972 1.10293 0.864972
"F_1992" "F_1992" 0.89113 0.134597 -0.808856 0.209299
"F_1993" "F_1993" 1.1259 0.173611 0.725201 0.765836
"F_1994" "F_1994" 1.88077 0.302552 2.91114 0.998199
"F_1995" "F_1995" 1.74912 0.312554 2.39677 0.99173
"F_1996" "F_1996" 1.39943 0.230487 1.73296 0.958449
"F_1997" "F_1997" 1.19889 0.172241 1.1547 0.875894
"F_1998" "F_1998" 2.02916 0.303522 3.39073 0.999651
"F_1999" "F_1999" 2.05427 0.308903 3.41295 0.999679
"F_2000" "F_2000" 1.8996 0.286905 3.13553 0.999142
"F_2001" "F_2001" 1.71992 0.267501 2.69127 0.996441
"F_2002" "F_2002" 1.55604 0.225279 2.46825 0.993211
"F_2003" "F_2003" 2.26564 0.33958 3.72707 0.999903
"F_2004" "F_2004" 2.10502 0.313087 3.52942 0.999792
"F_2005" "F_2005" 1.92976 0.309237 3.00661 0.998679
"F_2006" "F_2006" 1.66996 0.271504 2.4676 0.993199
"F_2007" "F_2007" 1.50852 0.238101 2.13573 0.983649
"F_2008" "F_2008" 1.81819 0.28444 2.8765 0.997989
"F_2009" "F_2009" 1.67653 0.260333 2.5987 0.995321
"F_2010" "F_2010" 1.69632 0.257342 2.7058 0.996593
"F_2011" "F_2011" 1.99051 0.299519 3.30699 0.999528
"F_2012" "F_2012" 2.07507 0.32752 3.28245 0.999485
