"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"F_2005" "F_2005" 1.70797 0.310045 2.28345 0.988798
"F_2006" "F_2006" 1.4229 0.259944 1.6269 0.948121
"F_2007" "F_2007" 1.26424 0.230074 1.1485 0.874619
"F_2008" "F_2008" 1.45521 0.270064 1.68557 0.95406
"F_2009" "F_2009" 1.27161 0.213257 1.27365 0.898606
"F_2010" "F_2010" 1.29119 0.202326 1.43921 0.924955
"F_2011" "F_2011" 1.60413 0.247125 2.44464 0.99275
"F_2012" "F_2012" 1.79779 0.287622 2.77373 0.997229
"F_2013" "F_2013" 1.42893 0.235913 1.81816 0.96548
"F_2014" "F_2014" 1.76098 0.246814 3.08321 0.998976
"F_2015" "F_2015" 1.93119 0.311395 2.99037 0.998607
"F_2016" "F_2016" 1.77132 0.334881 2.30328 0.989369
"F_2017" "F_2017" 1.41094 0.248707 1.6523 0.950763
"F_2018" "F_2018" 1.57191 0.265372 2.15513 0.984424
"F_2019" "F_2019" 1.55083 0.287237 1.91769 0.972425
"F_2020" "F_2020" 1.48868 0.324702 1.50502 0.933841
"F_2021" "F_2021" 1.60048 0.435862 1.37768 0.915848
"F_2022" "F_2022" 1.06582 0.321674 0.204625 0.581067
"F_2023" "F_2023" 1.06582 0.321674 0.204625 0.581067
"Bratio_1953" "Bratio_1953" 4.6972 0.382332 9.67011 1
"Bratio_1954" "Bratio_1954" 4.29907 0.3815 8.64764 1
"Bratio_1955" "Bratio_1955" 2.19226 0.418084 2.85173 0.997826
"Bratio_1956" "Bratio_1956" 1.82332 0.361549 2.2772 0.988613
"Bratio_1957" "Bratio_1957" 1.76104 0.328579 2.31616 0.989725
"Bratio_1958" "Bratio_1958" 1.75178 0.316056 2.37862 0.991311
"Bratio_1959" "Bratio_1959" 1.39273 0.295421 1.32938 0.908139
"Bratio_1960" "Bratio_1960" 1.30883 0.28327 1.09024 0.862197
"Bratio_1961" "Bratio_1961" 1.26193 0.273835 0.95653 0.830598
"Bratio_1962" "Bratio_1962" 0.899712 0.245462 -0.408568 0.341428
"Bratio_1963" "Bratio_1963" 0.769274 0.217678 -1.05994 0.144585
"Bratio_1964" "Bratio_1964" 0.630515 0.194668 -1.89802 0.0288465
"Bratio_1965" "Bratio_1965" 0.791813 0.21342 -0.975483 0.16466
"Bratio_1966" "Bratio_1966" 0.809403 0.225938 -0.84358 0.199452
"Bratio_1967" "Bratio_1967" 0.688236 0.230457 -1.35281 0.088059
"Bratio_1968" "Bratio_1968" 0.862489 0.243284 -0.565228 0.285959
"Bratio_1969" "Bratio_1969" 1.06883 0.261175 0.263558 0.60394
"Bratio_1970" "Bratio_1970" 1.2359 0.274087 0.860686 0.805295
"Bratio_1971" "Bratio_1971" 0.952299 0.243386 -0.195989 0.422309
"Bratio_1972" "Bratio_1972" 0.686407 0.197198 -1.59025 0.0558892
"Bratio_1973" "Bratio_1973" 0.610717 0.168771 -2.30657 0.0105393
"Bratio_1974" "Bratio_1974" 0.586939 0.16463 -2.50902 0.00605336
"Bratio_1975" "Bratio_1975" 0.628992 0.172065 -2.15622 0.0155333
"Bratio_1976" "Bratio_1976" 0.709953 0.177094 -1.63781 0.0507303
"Bratio_1977" "Bratio_1977" 0.742457 0.180308 -1.42835 0.0765958
"Bratio_1978" "Bratio_1978" 0.929353 0.188483 -0.374822 0.353897
"Bratio_1979" "Bratio_1979" 0.84465 0.173278 -0.89654 0.184982
"Bratio_1980" "Bratio_1980" 0.802855 0.170808 -1.15419 0.124211
"Bratio_1981" "Bratio_1981" 1.02046 0.171057 0.119595 0.547598
"Bratio_1982" "Bratio_1982" 0.864109 0.152964 -0.888384 0.187167
"Bratio_1983" "Bratio_1983" 0.668923 0.137339 -2.41066 0.00796189
"Bratio_1984" "Bratio_1984" 0.723944 0.139853 -1.9739 0.0241962
"Bratio_1985" "Bratio_1985" 0.727397 0.138353 -1.97035 0.0243992
"Bratio_1986" "Bratio_1986" 0.657709 0.131681 -2.59939 0.00466956
"Bratio_1987" "Bratio_1987" 0.625101 0.122038 -3.07198 0.0010633
"Bratio_1988" "Bratio_1988" 0.576455 0.127699 -3.31673 0.000455445
"Bratio_1989" "Bratio_1989" 0.572931 0.135081 -3.16157 0.000784676
"Bratio_1990" "Bratio_1990" 0.533398 0.125994 -3.70337 0.000106407
"Bratio_1991" "Bratio_1991" 0.556851 0.130087 -3.40655 0.000329001
"Bratio_1992" "Bratio_1992" 0.608608 0.14083 -2.77918 0.00272489
"Bratio_1993" "Bratio_1993" 0.71196 0.158609 -1.81604 0.0346822
"Bratio_1994" "Bratio_1994" 0.774388 0.175137 -1.28821 0.0988372
"Bratio_1995" "Bratio_1995" 0.672258 0.16168 -2.02711 0.0213257
"Bratio_1996" "Bratio_1996" 0.712172 0.151129 -1.90451 0.0284215
"Bratio_1997" "Bratio_1997" 0.744587 0.151733 -1.68331 0.0461579
"Bratio_1998" "Bratio_1998" 0.850238 0.164604 -0.909836 0.181455
"Bratio_1999" "Bratio_1999" 0.93265 0.177021 -0.380464 0.351801
