"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SPRratio_1981" "SPRratio_1981" 1.12976 0.0288714 4.49439 0.999997
"SPRratio_1982" "SPRratio_1982" 1.15773 0.0298924 5.27644 1
"SPRratio_1983" "SPRratio_1983" 1.02575 0.0435204 0.59168 0.722967
"SPRratio_1984" "SPRratio_1984" 1.05725 0.0403131 1.42008 0.922208
"SPRratio_1985" "SPRratio_1985" 1.07767 0.0411958 1.8855 0.970319
"SPRratio_1986" "SPRratio_1986" 1.04609 0.0451854 1.01999 0.846134
"SPRratio_1987" "SPRratio_1987" 1.05019 0.050076 1.00219 0.841874
"SPRratio_1988" "SPRratio_1988" 1.13126 0.0461778 2.8426 0.997763
"SPRratio_1989" "SPRratio_1989" 1.20712 0.0345788 5.98972 1
"SPRratio_1990" "SPRratio_1990" 1.12376 0.0518288 2.38784 0.991526
"SPRratio_1991" "SPRratio_1991" 1.04021 0.0643357 0.624988 0.73401
"SPRratio_1992" "SPRratio_1992" 0.958129 0.0685049 -0.611207 0.270531
"SPRratio_1993" "SPRratio_1993" 0.993316 0.0634703 -0.105301 0.458068
"SPRratio_1994" "SPRratio_1994" 1.14098 0.0469262 3.00428 0.998669
"SPRratio_1995" "SPRratio_1995" 1.06913 0.0535128 1.29192 0.901807
"SPRratio_1996" "SPRratio_1996" 1.02667 0.0543904 0.490381 0.688068
"SPRratio_1997" "SPRratio_1997" 1.00282 0.0545384 0.0517917 0.520653
"SPRratio_1998" "SPRratio_1998" 1.08235 0.0433557 1.8993 0.971238
"SPRratio_1999" "SPRratio_1999" 1.05021 0.0476498 1.05377 0.854007
"SPRratio_2000" "SPRratio_2000" 0.988546 0.0511264 -0.224031 0.411367
"SPRratio_2001" "SPRratio_2001" 0.966166 0.0460895 -0.734087 0.231448
"SPRratio_2002" "SPRratio_2002" 1.0406 0.0387866 1.04668 0.852377
"SPRratio_2003" "SPRratio_2003" 1.16505 0.0334075 4.94048 1
"SPRratio_2004" "SPRratio_2004" 1.16827 0.0402979 4.17575 0.999985
"SPRratio_2005" "SPRratio_2005" 1.09093 0.0548811 1.65687 0.951227
"SPRratio_2006" "SPRratio_2006" 1.01331 0.0621459 0.214245 0.584822
"SPRratio_2007" "SPRratio_2007" 0.989068 0.0642246 -0.17022 0.432419
"SPRratio_2008" "SPRratio_2008" 1.03562 0.058382 0.61012 0.729109
"SPRratio_2009" "SPRratio_2009" 0.988479 0.0551212 -0.209016 0.417218
"SPRratio_2010" "SPRratio_2010" 1.00844 0.0499092 0.169198 0.56718
"SPRratio_2011" "SPRratio_2011" 1.09606 0.0436719 2.19967 0.986085
"SPRratio_2012" "SPRratio_2012" 1.14087 0.0429566 3.27934 0.99948
"SPRratio_2013" "SPRratio_2013" 1.03063 0.0496586 0.616848 0.731332
"SPRratio_2014" "SPRratio_2014" 1.16848 0.0368185 4.576 0.999998
"SPRratio_2015" "SPRratio_2015" 1.1594 0.0417375 3.81922 0.999933
"SPRratio_2016" "SPRratio_2016" 1.08109 0.0543077 1.4932 0.932307
"SPRratio_2017" "SPRratio_2017" 1.05621 0.0590038 0.952609 0.829606
"SPRratio_2018" "SPRratio_2018" 1.11206 0.0523529 2.14046 0.983841
"SPRratio_2019" "SPRratio_2019" 1.11624 0.0590624 1.96804 0.975468
"SPRratio_2020" "SPRratio_2020" 1.12659 0.0716559 1.7666 0.961352
"SPRratio_2021" "SPRratio_2021" 1.08132 0.0939187 0.865839 0.806711
"SPRratio_2022" "SPRratio_2022" 0.956897 0.12802 -0.33669 0.368175
"SPRratio_2023" "SPRratio_2023" 0.956897 0.12802 -0.33669 0.368175
"F_1952" "F_1952" 0.0177178 0.00261032 -376.306 0
"F_1953" "F_1953" 0.165413 0.0143119 -58.3144 0
"F_1954" "F_1954" 1.31781 0.165838 1.9164 0.972343
"F_1955" "F_1955" 0.806862 0.127389 -1.51613 0.0647437
"F_1956" "F_1956" 0.657573 0.103876 -3.29651 0.000489529
"F_1957" "F_1957" 0.592031 0.0933953 -4.36819 6.2688e-06
"F_1958" "F_1958" 1.03861 0.165114 0.233864 0.592455
"F_1959" "F_1959" 0.895712 0.153515 -0.679333 0.248464
"F_1960" "F_1960" 0.945069 0.154896 -0.35463 0.361434
"F_1961" "F_1961" 1.66249 0.264175 2.50777 0.993925
"F_1962" "F_1962" 1.55826 0.208012 2.6838 0.99636
"F_1963" "F_1963" 1.86516 0.130578 6.62562 1
"F_1964" "F_1964" 1.03368 0.121011 0.278298 0.609608
"F_1965" "F_1965" 1.23486 0.205703 1.14175 0.873222
"F_1966" "F_1966" 1.59234 0.346726 1.70837 0.956216
"F_1967" "F_1967" 0.839823 0.18346 -0.873093 0.191306
"F_1968" "F_1968" 0.626037 0.134389 -2.7827 0.00269552
"F_1969" "F_1969" 0.557515 0.110873 -3.99091 3.29254e-05
"F_1970" "F_1970" 1.23381 0.213848 1.09334 0.862878
"F_1971" "F_1971" 1.80836 0.370595 2.18125 0.985417
"F_1972" "F_1972" 1.93973 0.462038 2.03388 0.979018
"F_1973" "F_1973" 1.90476 0.454307 1.99152 0.976788
"F_1974" "F_1974" 1.77477 0.458461 1.68994 0.95448
"F_1975" "F_1975" 1.36356 0.322367 1.12777 0.870291
"F_1976" "F_1976" 1.24413 0.280786 0.869447 0.807699
"F_1977" "F_1977" 0.643134 0.125577 -2.84182 0.00224291
"F_1978" "F_1978" 1.21489 0.165616 1.2975 0.90277
"F_1979" "F_1979" 1.25366 0.200868 1.26279 0.896668
"F_1980" "F_1980" 0.837494 0.128503 -1.26461 0.103005
"F_1981" "F_1981" 1.48266 0.17814 2.70944 0.99663
"F_1982" "F_1982" 1.85098 0.281493 3.02309 0.998749
"F_1983" "F_1983" 1.23619 0.206784 1.14219 0.873312
"F_1984" "F_1984" 1.27969 0.194758 1.43611 0.924515
"F_1985" "F_1985" 1.22974 0.183181 1.25419 0.895114
"F_1986" "F_1986" 1.14318 0.172521 0.829944 0.796715
"F_1987" "F_1987" 1.11361 0.175245 0.648313 0.741609
"F_1988" "F_1988" 1.49931 0.272743 1.8307 0.966427
"F_1989" "F_1989" 2.29071 0.478875 2.69528 0.996484
"F_1990" "F_1990" 1.59377 0.358401 1.65671 0.951211
"F_1991" "F_1991" 1.19797 0.269941 0.733383 0.768338
"F_1992" "F_1992" 0.885961 0.172794 -0.65997 0.254636
"F_1993" "F_1993" 1.03374 0.202566 0.166565 0.566144
"F_1994" "F_1994" 1.62543 0.323604 1.93271 0.973364
"F_1995" "F_1995" 1.44999 0.319865 1.40682 0.920259
"F_1996" "F_1996" 1.22848 0.239672 0.953287 0.829778
"F_1997" "F_1997" 1.07459 0.186025 0.400959 0.655775
"F_1998" "F_1998" 1.40683 0.237931 1.70987 0.956355
"F_1999" "F_1999" 1.19915 0.176088 1.13097 0.870966
"F_2000" "F_2000" 0.965275 0.134067 -0.259011 0.397813
"F_2001" "F_2001" 0.902786 0.104692 -0.928572 0.176555
"F_2002" "F_2002" 1.0525 0.107391 0.48886 0.68753
"F_2003" "F_2003" 1.61224 0.203123 3.01415 0.998711
"F_2004" "F_2004" 1.63028 0.245541 2.5669 0.994869
"F_2005" "F_2005" 1.40816 0.27035 1.50976 0.934447
"F_2006" "F_2006" 1.12017 0.211293 0.568742 0.715234
"F_2007" "F_2007" 0.97998 0.178186 -0.112353 0.455272
"F_2008" "F_2008" 1.11003 0.196248 0.560674 0.71249
"F_2009" "F_2009" 0.978911 0.147827 -0.142658 0.44328
"F_2010" "F_2010" 0.999302 0.133523 -0.00522984 0.497914
"F_2011" "F_2011" 1.26777 0.166321 1.60996 0.946297
"F_2012" "F_2012" 1.48556 0.218652 2.22068 0.986814
"F_2013" "F_2013" 1.16884 0.18093 0.93315 0.824629
"F_2014" "F_2014" 1.56092 0.197681 2.83751 0.997727
